date,oil_price
200001,592.28
200002,590.67
200003,590.19
200004,578.95
200005,559.25
200006,597.49
200007,597.07
200008,628.9
200009,656.92
200010,702.68
200011,701.05
200012,695.01
200101,675.59
200102,673.81
200103,672.38
200104,684.64
200105,664.17
200106,662.57
200107,663.89
200108,659.06
200109,659.5
200110,664.68
200111,637.79
200112,607.19
200201,617.73
200202,620.89
200203,629.27
200204,672.28
200205,700.26
200206,700.06
200207,727.63
200208,725.75
200209,725.25
200210,748.64
200211,774.43
200212,757.05
200301,780.99
200302,805.07
200303,826.8
200304,786.73
200305,759.31
200306,751.43
200307,780.03
200308,782.49
200309,782.46
200310,786.93
200311,807.43
200312,824.38
200401,844.82
200402,859.04
200403,859.63
200404,860.52
200405,873.88
200406,881.95
200407,936.75
200408,968.75
200409,972.43
200410,986.3
200411,980.29
200412,941.35
200501,931.71
200502,947.02
200503,994.86
200504,1037.83
200505,1021.93
200506,1041.96
200507,1137.85
200508,1154.8
200509,1191.71
200510,1194.26
200511,1155.19
200512,1132.91
200601,1152.33
200602,1157.7
200603,1164.92
200604,1207.78
200605,1252.52
200606,1248.79
200607,1291.15
200608,1297.46
200609,1270.62
200610,1205.1
200611,1183.9
200612,1177.39
200701,1168.64
200702,1156.1
200703,1178.93
200704,1212.25
200705,1234.84
200706,1244.41
200707,1251.96
200708,1284.64
200709,1291.97
200710,1335.55
200711,1399.99
200712,1434.15
200801,1453.93
200802,1453.84
200803,1498.41
200804,1608.03
200805,1762.62
200806,1914.7
200807,1922.25
200808,1779.22
200809,1665.92
200810,1606.65
200811,1422.17
200812,1305.82
200901,1304.71
200902,1324.18
200903,1310.18
200904,1334.87
200905,1328.7
200906,1393.8
200907,1436.24
200908,1456.17
200909,1460.44
200910,1412.16
200911,1452.93
200912,1443.59
201001,1451.6
201002,1446.09
201003,1470
201004,1508.68
201005,1527.2
201006,1517.47
201007,1525.13
201008,1523.76
201009,1509.23
201010,1507.24
201011,1524.62
201012,1574.39
201101,1621.05
201102,1650.71
201103,1755.21
201104,1798.03
201105,1782.93
201106,1745.88
201107,1760.49
201108,1767.9
201109,1754.55
201110,1779.99
201111,1795.18
201112,1798.42
201201,1808.62
201202,1835.15
201203,1858.26
201204,1870.26
201205,1846.68
201206,1782.2
201207,1731.89
201208,1792.52
201209,1840.92
201210,1826.62
201211,1786.11
201212,1767.74
201301,1757.15
201302,1771.01
201303,1794.82
201304,1758.43
201305,1710.01
201306,1706.1
201307,1735.33
201308,1751.84
201309,1743.59
201310,1723.76
201311,1708.48
201312,1710.78
201401,1713.73
201402,1707.22
201403,1704.31
201404,1697.46
201405,1692.05
201406,1682.9
201407,1675.26
201408,1657.27
201409,1626.47
201410,1596.91
201411,1546.94
201412,1471.37
201501,1345.69
201502,1287.84
201503,1332.94
201504,1327.8
201505,1347.03
201506,1372.28
201507,1366.78
201508,1328.71
201509,1284.65
201510,1269.02
201511,1251.46
201512,1225.11
201601,1173.61
201602,1110.25
201603,1106.94
201604,1127.32
201605,1160.82
201606,1229.45
201607,1235.92
201608,1215.76
201609,1210.68
201610,1219
201611,1231.55
201612,1252.25
201701,1300.93
201702,1310.15
201703,1304.24
201704,1288.73
201705,1282.37
201706,1268.07
201707,1246.43
201708,1253.09
201709,1272.56
201710,1297.58
201711,1315.58
201712,1336.9
