date,area,production
200001,8393,277186
200002,8393,277186
200003,8393,277186
200004,8393,277186
200005,8393,277186
200006,8393,277186
200007,8393,277186
200008,8393,277186
200009,8393,277186
200010,8393,277186
200011,8393,277186
200012,8393,277186
200101,7740,229672
200102,7740,229672
200103,7740,229672
200104,7740,229672
200105,7740,229672
200106,7740,229672
200107,7740,229672
200108,7740,229672
200109,7740,229672
200110,7740,229672
200111,7740,229672
200112,7740,229672
200201,7082,258919
200202,7082,258919
200203,7082,258919
200204,7082,258919
200205,7082,258919
200206,7082,258919
200207,7082,258919
200208,7082,258919
200209,7082,258919
200210,7082,258919
200211,7082,258919
200212,7082,258919
200301,5840,176040
200302,5840,176040
200303,5840,176040
200304,5840,176040
200305,5840,176040
200306,5840,176040
200307,5840,176040
200308,5840,176040
200309,5840,176040
200310,5840,176040
200311,5840,176040
200312,5840,176040
200401,6273,186407
200402,6273,186407
200403,6273,186407
200404,6273,186407
200405,6273,186407
200406,6273,186407
200407,6273,186407
200408,6273,186407
200409,6273,186407
200410,6273,186407
200411,6273,186407
200412,6273,186407
200501,6923,225923
200502,6923,225923
200503,6923,225923
200504,6923,225923
200505,6923,225923
200506,6923,225923
200507,6923,225923
200508,6923,225923
200509,6923,225923
200510,6923,225923
200511,6923,225923
200512,6923,225923
200601,6214,158512
200602,6214,158512
200603,6214,158512
200604,6214,158512
200605,6214,158512
200606,6214,158512
200607,6214,158512
200608,6214,158512
200609,6214,158512
200610,6214,158512
200611,6214,158512
200612,6214,158512
200701,5050,168786
200702,5050,168786
200703,5050,168786
200704,5050,168786
200705,5050,168786
200706,5050,168786
200707,5050,168786
200708,5050,168786
200709,5050,168786
200710,5050,168786
200711,5050,168786
200712,5050,168786
200801,5113,182842
200802,5113,182842
200803,5113,182842
200804,5113,182842
200805,5113,182842
200806,5113,182842
200807,5113,182842
200808,5113,182842
200809,5113,182842
200810,5113,182842
200811,5113,182842
200812,5113,182842
200901,4989,171216
200902,4989,171216
200903,4989,171216
200904,4989,171216
200905,4989,171216
200906,4989,171216
200907,4989,171216
200908,4989,171216
200909,4989,171216
200910,4989,171216
200911,4989,171216
200912,4989,171216
201001,5582,186750
201002,5582,186750
201003,5582,186750
201004,5582,186750
201005,5582,186750
201006,5582,186750
201007,5582,186750
201008,5582,186750
201009,5582,186750
201010,5582,186750
201011,5582,186750
201012,5582,186750
201101,5816,147525
201102,5816,147525
201103,5816,147525
201104,5816,147525
201105,5816,147525
201106,5816,147525
201107,5816,147525
201108,5816,147525
201109,5816,147525
201110,5816,147525
201111,5816,147525
201112,5816,147525
201201,5740,189325
201202,5740,189325
201203,5740,189325
201204,5740,189325
201205,5740,189325
201206,5740,189325
201207,5740,189325
201208,5740,189325
201209,5740,189325
201210,5740,189325
201211,5740,189325
201212,5740,189325
201301,6249,182882
201302,6249,182882
201303,6249,182882
201304,6249,182882
201305,6249,182882
201306,6249,182882
201307,6249,182882
201308,6249,182882
201309,6249,182882
201310,6249,182882
201311,6249,182882
201312,6249,182882
201401,4758,159607
201402,4758,159607
201403,4758,159607
201404,4758,159607
201405,4758,159607
201406,4758,159607
201407,4758,159607
201408,4758,159607
201409,4758,159607
201410,4758,159607
201411,4758,159607
201412,4758,159607
201501,5170,177023
201502,5170,177023
201503,5170,177023
201504,5170,177023
201505,5170,177023
201506,5170,177023
201507,5170,177023
201508,5170,177023
201509,5170,177023
201510,5170,177023
201511,5170,177023
201512,5170,177023
201601,5137,164796
201602,5137,164796
201603,5137,164796
201604,5137,164796
201605,5137,164796
201606,5137,164796
201607,5137,164796
201608,5137,164796
201609,5137,164796
201610,5137,164796
201611,5137,164796
201612,5137,164796
201701,4891,138249
201702,4891,138249
201703,4891,138249
201704,4891,138249
201705,4891,138249
201706,4891,138249
201707,4891,138249
201708,4891,138249
201709,4891,138249
201710,4891,138249
201711,4891,138249
201712,4891,138249
